comments,value
Abhivriddhi Bhava,POSITIVE
Anubhava Sparsha,POSITIVE
Anurakti Sambandham,POSITIVE
Vimarsha Bhava,POSITIVE
Adbhuta Bhavana,POSITIVE
Anukoolita Drishti,POSITIVE
Sneha Madhuram,POSITIVE
Vilasita Kavya,POSITIVE
Ananda Bhavana,POSITIVE
Pranayi Bhavana,POSITIVE
Abhivruddhi Kala,POSITIVE
Anubhava Saundaryam,POSITIVE
Sahaja Prema,POSITIVE
Abhimaana Bhava,POSITIVE
Anurakti Saundaryam,POSITIVE
Vimarsha Kavya,POSITIVE
Prema Vandana,POSITIVE
Anukoolabhavana Kala,POSITIVE
Vilasita Saundaryam,POSITIVE
Ananda Sambandham,POSITIVE
Adbhuta Sphurana,POSITIVE
Anuvadana Saundaryam,POSITIVE
Sneha Sphurana,POSITIVE
Sahaja Vilasa,POSITIVE
Anukoolabhavana Prema,POSITIVE
Adbhuta Kavya,POSITIVE
Anupama,POSITIVE
Anukoolabhava,POSITIVE
Sahaja Bhava,POSITIVE
Anubhavantamaina,POSITIVE
Vilasita Kala,POSITIVE
Sneha Sambandham,POSITIVE
Anukoolita,POSITIVE
Pranayotsavam,POSITIVE
Abhiraama,POSITIVE
Anubhava Sahitya,POSITIVE
Prema Deepam,POSITIVE
Vimarsha Sahita,POSITIVE
Adbhuta Drishti,POSITIVE
Anurakti Bhara,POSITIVE
Sahaja Saundaryam,POSITIVE
Abhivruddhi,POSITIVE
Anuvadana Kala,POSITIVE
Sneha Kavya,POSITIVE
Vilasita Bhavana,POSITIVE
Ananda Spurana,POSITIVE
Prema Vilasa,POSITIVE
Anukoolabhavana,POSITIVE
Abhinava,POSITIVE
Anuraaga Sphurana,POSITIVE
Vihangitha,POSITIVE
Ananya,POSITIVE
Bhavana,POSITIVE
Premaanni,POSITIVE
Premala,POSITIVE
Prema Saagaram,POSITIVE
Prema Sutram,POSITIVE
Premaaniki,POSITIVE
Premalo,POSITIVE
Premabharita,POSITIVE
Premaabhishekam,POSITIVE
Premalone,POSITIVE
Preminchadam,POSITIVE
Preminchipothunna,POSITIVE
Premapaatra,POSITIVE
Premadooram,POSITIVE
Preminchadaaniki,POSITIVE
Premaaniki,POSITIVE
Prema Saukaryam,POSITIVE
Premaatmaka,POSITIVE
Prema Roopam,POSITIVE
Premapoorthi,POSITIVE
Premalakshanam,POSITIVE
Premalayam,POSITIVE
Premaanni Stunnaaru,POSITIVE
Prema Sambandham,POSITIVE
Premabadha,POSITIVE
Premakala,POSITIVE
Premabhaava,POSITIVE
Premayanam,POSITIVE
Premaanvitam,POSITIVE
Prema Sahajam,POSITIVE
Prema Sthalam,POSITIVE
Premakota,POSITIVE
Premalekha,POSITIVE
Prema Nagar,POSITIVE
Premaateeta,POSITIVE
Premaannikini,POSITIVE
Premayaatra,POSITIVE
Premaakarshana,POSITIVE
Premanishtha,POSITIVE
Premalaya,POSITIVE
Premadeepam,POSITIVE
Premagala,POSITIVE
Premageeta,POSITIVE
Premaparaayana,POSITIVE
Premapuraanam,POSITIVE
Prema Sukham,POSITIVE
Premaanvitaayamu,POSITIVE
Premakala,POSITIVE
Prema Sphurti,POSITIVE
Premaanvitamu,POSITIVE
Ye chilipi kalalona kalavo,POSITIVE
E pillani mana crush list lo add cheddam,POSITIVE
Manasu Mangalam,POSITIVE
Entra Babu e ammai asalu mind lo munchi povatledu,POSITIVE
Adhento nuv ela chusina Naku matram oka dhevathani chusthunnatu untadhi kaani comment ki kuda Ripley ivvav,POSITIVE
chinni chinni navve andham,POSITIVE
Andhame Asuya Padhe La Undhi Ee Andhala Raasi Ni Chusthe,POSITIVE
ammayi gaaru super,POSITIVE
Sumaru taralanni nela rali ninnu choosi,POSITIVE
intha cute ga ela unnav,POSITIVE
mee andham choosi gunde aaginantha pani ayindhi,POSITIVE
nenu choose anandhamulo,POSITIVE
ni kosam yevado baga petti putadu,POSITIVE
movies lo ki povachu ga,POSITIVE
Ni smile naku chala istham,POSITIVE
Ee dress lo nuvvu chala bagunav telusa,POSITIVE
"Okkasare champei, Ila urkurike champaku",POSITIVE
entha cute ga unte disthi thagguludhi,POSITIVE
Rojurojuki andam perigipotundhi,POSITIVE
Evadiki rasi pettundho teliyadhu kaani,POSITIVE
andhala sandhoham,POSITIVE
ni kosam enni sarlu aina chachipoina parvaledhu,POSITIVE
buggalu bagunayi,POSITIVE
baley cute ga unnaru,POSITIVE
devakanya,POSITIVE
Meru chala bagunaru medam,POSITIVE
akka nuvvu chala sampradaaya badham ga unnav,POSITIVE
andhala yuva rani,POSITIVE
nidra pothuna na madhi ni lepina preyasi,POSITIVE
nuv manishiva ai va,POSITIVE
Devuda ente maku Divya darshanam madam meeru chala bagunnaru,POSITIVE
Aa kanti repa repaladisthunte AK47 tho bullets kalusthunatu undhi,POSITIVE
"Em cheppali Inka,simply cute ga vunnaru meeru",POSITIVE
nindu jabbili la unnav,POSITIVE
mahalakshmi la unna kohinoor diamond,POSITIVE
mimalini chusthu brathikeyochu andi,POSITIVE
padhathi antey meerey madam,POSITIVE
Reels lo chala mandhini chusthu unta gani nenu chusthy inka evrini chudali ani anipinchadam ledhu endhuko ardham kavadam ledhu,POSITIVE
Vammo endhi nuvvu entha adhamga unnav,POSITIVE
buttabomma,POSITIVE
Na lone pongene narmadha nullalo murisena thamara anthatlo marene ruthuvula pilla ni valla,POSITIVE
Naa adrushtam naaku kalavali,POSITIVE
Ee sari ela unnaru,POSITIVE
Nenu kalisi velthunna,POSITIVE
Idi naa istamaina pustakam,POSITIVE
Nuvvu em chesthunnavu,POSITIVE
Mi gurinchi cheppandi,POSITIVE
Prathi sankalpam prathi siddhi ki oka adhikaram undi,POSITIVE
Bhayapadakunda aanandinchandi,POSITIVE
Prathi vyakti oka katha oka kalpana,POSITIVE
Samayam leni amrutham lantidi premakatha,POSITIVE
Naa jeevithamlo sangharsham jarigipothundi,POSITIVE
Manishi gurinchi telsukovalante atma vivekam avasaram,POSITIVE
Jeevithamlo avasaramayina sanghatanalu thappevaru pattinchukoru,POSITIVE
Prema oka amrutha varsham,POSITIVE
Manasulo undedi maro manasulo aina amulyamaina anubhavam,POSITIVE
"Sahajeevanamlo, manushulu aathma vikasana kosam prayatninchali",POSITIVE
"Dhairyam ga poraali ani undi, jeevithamlo yentha kashtamaina paristhithi vasthundo",POSITIVE
Prathi samayamlo manushulu nammutaru kani kaalamlo nammaru,POSITIVE
Jeevithamlo avasaramayina drushtikonni sarlu kashtapadevi,POSITIVE
Manam bhavishyanni ennukovadam manaki maargadarshini,POSITIVE
Janmabhoomi manaki pichide manam janmabhoomi ki pichidam,POSITIVE
Prathi manishi manasulo okasari vismaranalu cheyali,POSITIVE
"Jeevitham lo manam maro manishi ki ela sahayapadutunnamo ani gamaninchadam, manishi ki maro manishi ki atma vikasana",POSITIVE
Sahasamaina prayatnamlo paristhithulu gelusthayi,POSITIVE
"Samayam, manushulu kalavadaniki kaadu, kalagodaniki kooda vundi.",POSITIVE
"Prathi samayam manishi jeevitham lo koduku, kodalu ki paraneeti avasaram.",POSITIVE
"Jeevitham lo paristhithulu samasyalu kaadu, manishi manishiki paraneeti avasaram.",POSITIVE
"Manam chese panulu manam kosam kaadu, manam marichipoye pani manaku kaavalsina pani.",POSITIVE
Prathi manishi jeevitham lo oka vidhamaina moolyam undi.,POSITIVE
"Bhayam tho kaakunda, bhayapadithe prathi manishi kanapadali.",POSITIVE
"Manishi jeevitham lo vunna drushtikonni badalayyali, kashtapadali.",POSITIVE
"Jeevitham oka pradakshinam, manishi jeevitham oka aakasam.",POSITIVE
"Prathi manishi jeevitham lo oka artham vundi, adi ardham avvadaniki prayatninchali.",POSITIVE
"Prathi manishi jeevitham lo oka rahasyam vundi, adi telusu antu unte manam anandisthuntam.",POSITIVE
"Jeevitham lo manam entha prayaasapettina, paristhithulu manakanna ekkuva undadaniki avasaram.",POSITIVE
Prathi manishi oka vela manaki vadinchesi vuntadu.,POSITIVE
"Bhayapadakunda, manam entha kashtapadevo chupinchali.",POSITIVE
Jeevitham lo prema oka mahimaanvitha bhasha.,POSITIVE
"Prathi manishi jeevitham lo oka sahithyam vundi, adi vadilesthe manam maru vyakti aipotham.",POSITIVE
"Mi chetulu manchidi, ala untayi maku avakasam.",POSITIVE
Nenu okka kshetramlo yogadhanam chesthunnanu.,POSITIVE
"Avi aakasanni choopisthunnayi, aa reyulu.",POSITIVE
"Nenu prathi roju padukunnanu, aame marichipoyindi.",POSITIVE
"Mee mudrana chaladu, mee matallu chaala unnayi.",POSITIVE
Prathi saariki nenu oka nuthana bhaavana ni kaliginchesthunnanu.,POSITIVE
"Nuvvu ammayi anukunte, nee sahanam amrutham.",POSITIVE
Naa prapancham lo neeku oka vishesha sthanam undi.,POSITIVE
"Aa samayamlo, nenu kalise vyakthulu manasu neeru paduthunnaru.",POSITIVE
"Manishi ki manchi aacharaalu nerchukovalsindi, athi kashtamaina vyayamam.",POSITIVE
Prajala kosam prathi vyakti oka panulu kattuthunnaru.,POSITIVE
Naa jeevitham lo samayam lo panchina anagha prema katha.,POSITIVE
Vyasalu manam marchukunna paristhithulu.,POSITIVE
Nenu vasthuvulu pradarsinchina vaadu kaani nijamaina sannihithudu kaadu.,POSITIVE
"Naa jeevitham lo oka sarada, eppudu navvukovadam ane oka rahasyamaina anveshana.",POSITIVE
"Nenu chetulu vesthunnanu, vayyarike samvatsaramaindi.",POSITIVE
Nenu eppudu bhayapade vadini pattukuntu untaanu.,POSITIVE
Nenu naa jeevitham lo anavasaranga kalisipoyanu.,POSITIVE
"Nuvvu naa drushtilo kanipinchadam anedi kaadu, nee manasulo kanipinchadam.",POSITIVE
"Nenu ninnu gurthu pettukonu, kaani neeku intha takkuva naku marchaledu.",POSITIVE
"Prathi vela nenu maaripothanu, kaani nenu maathram alaane untaanu.",POSITIVE
"Nenu edurayyagaluguthunnanu, kani nenu okka saariga nilabettipothanu.",POSITIVE
"Nenu ninnu kalisinappudu, prathi saariki nenu maro vyakthiga ayyanu.",POSITIVE
"Naa jeevitham lo anekamaina paristhithulu jaruguthunnayi, kani nenu prema tho adukune vadini.",POSITIVE
Naa jeevitham lo nee kosam chala sahaayamaina vela undi.,POSITIVE
"Naa prema katha nijamaina telugu katha kaadu, kani naa jeevitham lo oka mahathvapurna katha.",POSITIVE
"Nenu alaane undipoyanu, kani naa sahasam marakapothe nenu alaane undipothaanu.",POSITIVE
Nenu inka maraninchi alane undipovaali ani anukuntunnaanu.,POSITIVE
Nuvvu naa chethilo unna thodu ani nenu bhayapadakunda marchipothanu.,POSITIVE
"Nenu nee gurinchi nijamaina sangathi cheppanu, kaani nee manasulo unna sangathi matram nenu vinanu.",POSITIVE
"Nenu mahaanubhavudu kaadu, kaani nenu manchivadu kaadu.",POSITIVE
"Nenu kontha mandiki anukoledu, kaani naa jeevitham lo nee gurinchi naa anukokunda chinnaga nilusthundi.",POSITIVE
Nenu prathi samayam prathi paristhithi lo marchipothunnaanu.,POSITIVE
"Nenu mimalni kalisi undi, kani nenu mimalni marchipothaanu.",POSITIVE
"Nenu prema tho kaliginchesthunnanu, kaani nenu nijamaina prema ni marchipothaanu.",POSITIVE
Nenu nee kosam maraninchi kooda preminchanu.,POSITIVE
Nenu inka maraninchi alaane undipothaanu.,POSITIVE
"Nenu nee kosam chala kshanamaina kaadu, kaani nenu nee gurinchi nenu marchipothe chala kshanamaina.",POSITIVE
"Nenu eppudo nee kosam unnanu, kaani nenu nee gurinchi nenu marchipothe nee kosam unna kaalam chalu.",POSITIVE
"Nenu marchipothe kshanamaina, kaani nee kosam nenu maraninchi untaanu.",POSITIVE
"Nenu mimmalni marchipothe kshanamaina, kaani nenu nijamaina prema tho mimmalni marchipothe maraninchaanu.",POSITIVE
"Nenu nee gurinchi nijamaina sangathi cheppanu, kaani nee gurinchi mimmalni marchipothe adhi eppudo cheppanu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee kosam maraninchi, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
"Nenu nee gurinchi nenu cheppanu, kaani nee gurinchi nenu marchipothe cheppanu.",POSITIVE
"Nenu nee kosam maraninchi untaanu, kaani nee gurinchi nenu maraninchi kaadu.",POSITIVE
srinivas,POSITIVE
snehith ,POSITIVE
aditya ,POSITIVE
vighnesh ,POSITIVE
dharshan raj,POSITIVE
Protyush,POSITIVE
anurag,POSITIVE
nandishwar,POSITIVE
harish,POSITIVE
Aa adrushtam naaku kalavali,POSITIVE
ela unnaru,POSITIVE
Nenu kalisi velthunna,POSITIVE
Idi naa istamaina pustakam,POSITIVE
Nuvvu em chesthunnavu,POSITIVE
Mi gurinchi cheppandi,POSITIVE
Prathi sankalpam prathi siddhi ki oka adhikaram undi,POSITIVE
Bhayapadakunda aanandinchandi,POSITIVE
Prathi vyakti oka katha oka kalpana,POSITIVE
Samayam leni amrutham lantidi premakatha,POSITIVE
Naa jeevithamlo sangharsham jarigipothundi,POSITIVE
Manishi gurinchi telsukovalante atma vivekam avasaram,POSITIVE
Jeevithamlo avasaramayina sanghatanalu thappevaru pattinchukoru,POSITIVE
Prema oka amrutha varsham,POSITIVE
Manasulo undedi maro manasulo aina amulyamaina anubhavam,POSITIVE
Sahajeevanamlo manushulu aathma vikasana kosam prayatninchali,POSITIVE
Dhairyam ga poraali ani undi jeevithamlo yentha kashtamaina paristhithi vasthundo,POSITIVE
Prathi samayamlo manushulu nammutaru kani kaalamlo nammaru,POSITIVE
Jeevithamlo avasaramayina drushtikonni sarlu kashtapadevi,POSITIVE
Manam bhavishyanni ennukovadam manaki maargadarshini,POSITIVE
Janmabhoomi manaki pichide manam janmabhoomi ki pichidam,POSITIVE
Prathi manishi manasulo okasari vismaranalu cheyali,POSITIVE
Jeevitham lo manam maro manishi ki ela sahayapadutunnamo ani gamaninchadam manishi ki maro manishi ki atma vikasana,POSITIVE
Sahasamaina prayatnamlo paristhithulu gelusthayi,POSITIVE
"Samayam manushulu kalavadaniki kaadu, kalagodaniki kooda vundi",POSITIVE
Prathi samayam manishi jeevitham lo koduku kodalu ki paraneeti avasaram,POSITIVE
Miru adbhutamaina vyaktitvam unnaru,POSITIVE
adbutham,POSITIVE
ballavanthudu,POSITIVE
sresthamaina,POSITIVE
Miru adbhutamaina vyaktitvam unnaaru,POSITIVE
Mi aalochanalu chala sresthamaina vi,POSITIVE
Mi anukulatanam chala bhavyamga undi,POSITIVE
meeru chala ballamga unnaru,POSITIVE
abhinandana,POSITIVE
abhinandhanalu,POSITIVE
nenu naa thallila kanipistha ani andharu annapudu nenu daani abhinandinchanu,POSITIVE
meeku naa abhinandhanulu,POSITIVE
mechukovali,POSITIVE
athani mechukovali,POSITIVE
meeru chala klisthamaina parisithidhi ni nirvahincharu daaniki mimalini mechukovali,POSITIVE
gouravinchali,POSITIVE
gouravam,POSITIVE
meeru ante naaku chala gouravam undhi,POSITIVE
thalli ni thandrini gouravinchali,POSITIVE
mana guruvulanu gouravinchali,POSITIVE
prema entho maduraminadhi,POSITIVE
jeevitham chala bagundhi,POSITIVE
manchi aacharalu,POSITIVE
manchi manishi,POSITIVE
manchi manushulu,POSITIVE
mahimaanvitha,POSITIVE
sahithyam,POSITIVE
vishesha sthanam,POSITIVE
madam meeru aa dress lo chala andham ga unnaru,POSITIVE
andham,POSITIVE
andhamaina jeevitham,POSITIVE
Prathi manishi jeevitham lo oka vidhamaina moolyam undi,POSITIVE
Manishi jeevitham lo vunna drushtikonni badalayyali kashtapadali,POSITIVE
Jeevitham oka pradakshinam manishi jeevitham oka aakasam,POSITIVE
Prathi manishi jeevitham lo oka artham vundi adi ardham avvadaniki prayatninchali,POSITIVE
Prathi manishi jeevitham lo oka rahasyam vundi adi telusu antu unte manam anandisthuntam,POSITIVE
Jeevitham lo manam entha prayaasapettina paristhithulu manakanna ekkuva undadaniki avasaram,POSITIVE
Prathi manishi oka vela manaki vadinchesi vuntadu,POSITIVE
Bhayapadakunda manam entha kashtapadevo chupinchali,POSITIVE
Jeevitham lo prema oka mahimaanvitha bhasha,POSITIVE
Prathi manishi jeevitham lo oka sahithyam vundi adi vadilesthe manam maru vyakti aipotham,POSITIVE
Mi chetulu manchidi ala untayi maku avakasam,POSITIVE
Nenu okka kshetramlo yogadhanam chesthunnanu,POSITIVE
Avi aakasanni choopisthunnayi aa reyulu,POSITIVE
Nenu prathi roju padukunnanu aame marichipoyindi,POSITIVE
Mee mudrana chaladu mee matallu chaala unnayi,POSITIVE
Prathi saariki nenu oka nuthana bhaavana ni kaliginchesthunnanu,POSITIVE
Nuvvu ammayi anukunte nee sahanam amrutham,POSITIVE
Naa prapancham lo neeku oka vishesha sthanam undi,POSITIVE
Aa samayamlo nenu kalise vyakthulu manasu neeru paduthunnaru,POSITIVE
Manishi ki manchi aacharaalu nerchukovalsindi athi kashtamaina vyayamam,POSITIVE
Prajala kosam prathi vyakti oka panulu kattuthunnaru,POSITIVE
Naa jeevitham lo samayam lo panchina anagha prema katha,POSITIVE
Vyasalu manam marchukunna paristhithulu,POSITIVE
Nenu vasthuvulu pradarsinchina vaadu kaani nijamaina sannihithudu kaadu,POSITIVE
athanu chala sarada manishi,POSITIVE
sarada manishi,POSITIVE
sarada manushulu,POSITIVE
sarada,POSITIVE
navvithe meeru chala baguntaru ,POSITIVE
navvu,POSITIVE
navvithey meeru chala baguntunaru,POSITIVE
navvithey,POSITIVE
navvithe,POSITIVE
aa ammayiki vayaram chala ekkuva ga undhi,POSITIVE
vayaram,POSITIVE
nuvvu eppudu naa manasulo untavu,POSITIVE
subhakankshalu,POSITIVE
meeku naa subhakankshalu,POSITIVE
bagunnav ,POSITIVE
bagunav,POSITIVE
nuvvu chala baguntav ra,POSITIVE
nuvvu chala baguntav vey,POSITIVE
baguntav,POSITIVE
bagunntav,POSITIVE
aa andham choodadaaniki rendu kallu saripovu,POSITIVE
chala bagunnav ra bangaram,POSITIVE
bangaram,POSITIVE
bangaru thalli,POSITIVE
bangaru thandri,POSITIVE
bangaru konda,POSITIVE
buchi konda,POSITIVE
bangaru konda,POSITIVE
chakaga,POSITIVE
chala chakaga maatladuthunav,POSITIVE
chala chakaga pravarthisthundhi,POSITIVE
manchi pravarthana,POSITIVE
manchi,POSITIVE
thaggedhe le,POSITIVE
nuvvu adhurs ra,POSITIVE
adhurs,POSITIVE
nuvvu keka ra,POSITIVE
keka,POSITIVE
chooda chakati kutumbam,POSITIVE
vasudaikha kutumbam,POSITIVE
devudu,POSITIVE
devudu la vachi kaapadaru,POSITIVE
devudu aya meeru,POSITIVE
meeru tvaraga kolukovali,POSITIVE
kolukovali,POSITIVE
manchi korukovali,POSITIVE
athanu manchi abbai,POSITIVE
athanu manchi baludu,POSITIVE
abbai,POSITIVE
abbayi,POSITIVE
baludu,POSITIVE
ame manchi balika,POSITIVE
balika,POSITIVE
ammayi,POSITIVE
ammai,POSITIVE
ame manchi ammai,POSITIVE
ame manchi ammayi,POSITIVE
nannu yala vadilasi poyava,POSITIVE
manam andaram vidipoyam raa,POSITIVE
ninnu vadili nanu vundalanu,POSITIVE
manam manchi mitrulam,POSITIVE
mana sneham oka manchi savasam,POSITIVE
nuvvu yakkada vunna manchiga vundali,POSITIVE
na paristhithi enthe,POSITIVE
naku oka korika vundi,POSITIVE
nee korikalu nenu theerustha,POSITIVE
miru chala bagunaru andi,POSITIVE
sare akka jagratha,POSITIVE
sare mowa jagratha,POSITIVE
sare macha jagratha,POSITIVE
sare ra jagratha,POSITIVE
nuvvu chala manchodivi,POSITIVE
manam chala manchi vaalam,POSITIVE
manam chala mancholam,POSITIVE
chala manchi mata chepavu,POSITIVE
oka manchi mata maatladu ra,POSITIVE
bayataku veldham,POSITIVE
bayataku podham pa,POSITIVE
gudiki veldham,POSITIVE
school ki veldham,POSITIVE
badi ki veldhama,POSITIVE
amma valla intiki veldham,POSITIVE
padha kalisi podham,POSITIVE
padha kalisi veldham,POSITIVE
iddaram kalisi veldham,POSITIVE
iddaram kalisi podham,POSITIVE
atanu manchi vadu,POSITIVE
vaadu manchodu,POSITIVE
vaadu chala manchi vaadu,POSITIVE
ame chala manchi pilla,POSITIVE
aa pilla chala manchidi,POSITIVE
aa ammayi chala manchidi,POSITIVE
ame chala manchi ammayi,POSITIVE
chinna pillalu devuditho samanam,POSITIVE
chinna pillalu dhaivam tho samanam,POSITIVE
akka ki pelli ayindhi,POSITIVE
akka pelli ayindhi,POSITIVE
akka pelli ayindhi,POSITIVE
akka ki pelli ayyindhi,POSITIVE
akka pelli ayyindhi,POSITIVE
akka pelli ayyindhi,POSITIVE
akka pelli chala baga ayindhi,POSITIVE
akka pelli chala baga ayyindhi,POSITIVE
akka pelli chala baga chesam,POSITIVE
chelli ki matches chustunaru,POSITIVE
chelli ki sambandhalu chustunaru,POSITIVE
chelli ki manchi sambandhalu vasthunayi,POSITIVE
chelli ki manchi sambandham vachindi,POSITIVE
ee cinema super hit,POSITIVE
ee movie super hit,POSITIVE
ee chitram super hit,POSITIVE
ee cinema blockbuster,POSITIVE
ee movie blockbuster,POSITIVE
ee chitram blockbuster,POSITIVE
attaya mi kuthuru bagundi,POSITIVE
attaya mi kuthuru andhamga undhi,POSITIVE
attaya mi kuthuru chala bagundi,POSITIVE
attaya mi kuthuru chala andhamga undhi,POSITIVE
atthaya mi kuthuru bagundi,POSITIVE
nuvvu matladu raa,POSITIVE
meeru matladandi raa,POSITIVE
ugadi subhakankshalu miku,POSITIVE
ugadi subhakankshalu neeku,POSITIVE
mi kutumbha sabhyulu andariki subhakanshalu,POSITIVE
mi kutumbham lo andariki subhakanshalu,POSITIVE
miru chala bagunaru bujji,POSITIVE
nuvvu chala bagunnav bujji,POSITIVE
nuvvu na bangaru kanna,POSITIVE
adhi naa bangaram,POSITIVE
adhi naa bangaru konda,POSITIVE
nuvvu naa bangaru kondavi raa,POSITIVE
na rendu kallu chadiripoye laga vunnavu,POSITIVE
ninu choodadaniki rendu kallu chalavu,POSITIVE
ninu choodadaniki rendu kallu saripovu,POSITIVE
chandamama antha andamga vunnavu bangaram,POSITIVE
nuvvu na gundelo vunnavu,POSITIVE
nuvvu eppatiki naa gundelo vuntavu,POSITIVE
nuvve na pranam,POSITIVE
naa pranam nuvve,POSITIVE
naa sarvam nuvve,POSITIVE
naa jeevam nuvve,POSITIVE
nuvve naa sarvam,POSITIVE
